"","DONOR","RECIPIENT","SECTOR","MEASURE","CHANNEL","MODALITY","FLOW_TYPE","PRICE_BASE","MD_DIM","MD_ID","UNIT_MEASURE","BASE_PER","UNIT_MULT","obsTime","obsValue","OBS_STATUS","DECIMALS"
"100","9OTH012","MMR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",19.249322,"A","3"
"101","9OTH012","NAM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",4.180691,"A","3"
"102","9OTH012","NPL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.236453,"A","3"
"103","9OTH012","NIC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.570792,"A","3"
"104","9OTH012","NGA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",17.564598,"A","3"
"105","9OTH012","PAK","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",24.876322,"A","3"
"106","9OTH012","PSE","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",0.746891,"A","3"
"107","9OTH012","PNG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",6.762106,"A","3"
"108","9OTH012","PRY","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.726922,"A","3"
"109","9OTH012","PER","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.482252,"A","3"
"110","9OTH012","PHL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",7.346538,"A","3"
"111","9OTH012","RWA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",10.362585,"A","3"
"112","9OTH012","PAK","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",23.91113,"A","3"
"113","9OTH012","PNG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",4.088402,"A","3"
"114","9OTH012","PRY","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.960419,"A","3"
"115","9OTH012","PER","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",16.121821,"A","3"
"116","9OTH012","TCD","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",2.172981,"A","3"
"117","9OTH012","COM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.376119,"A","3"
"118","9OTH012","COG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",2.814004,"A","3"
"119","9OTH012","CIV","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",7.868675,"A","3"
"120","9OTH012","PRK","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",8.854956,"A","3"
"121","9OTH012","COD","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",16.740781,"A","3"
"122","9OTH012","DOM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",1.343553,"A","3"
"123","9OTH012","SLV","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",3.480483,"A","3"
"124","9OTH012","ERI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",1.168142,"A","3"
"125","9OTH012","SWZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",4.760071,"A","3"
"126","9OTH012","ETH","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",24.204703,"A","3"
"127","9OTH012","FJI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.536745,"A","3"
"128","9OTH012","GAB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.279721,"A","3"
"129","9OTH012","GMB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",3.732001,"A","3"
"130","9OTH012","GEO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",5.507923,"A","3"
"131","9OTH012","GHA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",12.516094,"A","3"
"132","9OTH012","GTM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.415234,"A","3"
"133","9OTH012","GIN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",3.609585,"A","3"
"134","9OTH012","GNB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",2.753513,"A","3"
"135","9OTH012","GUY","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.267513,"A","3"
"136","9OTH012","HND","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",2.254891,"A","3"
"137","9OTH012","IND","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",2.006986,"A","3"
"138","9OTH012","IDN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",138.770463,"A","3"
"139","9OTH012","IRQ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",2.764117,"A","3"
"140","9OTH012","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.325225,"A","3"
"141","9OTH012","AFG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",7.354526,"A","3"
"142","9OTH012","AGO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",9.772544,"A","3"
"143","9OTH012","ARM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",1.536006,"A","3"
"144","9OTH012","THA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",9.847361,"A","3"
"145","9OTH012","TLS","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.787987,"A","3"
"146","9OTH012","TGO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.954076,"A","3"
"147","9OTH012","TUN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.280272,"A","3"
"148","9OTH012","TKM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.950247,"A","3"
"149","9OTH012","UGA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.009546,"A","3"
"150","9OTH012","UZB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.345881,"A","3"
"151","9OTH012","VNM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",4.393135,"A","3"
"152","9OTH012","YEM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.199809,"A","3"
"153","9OTH012","ZMB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.253272,"A","3"
"154","9OTH012","ZWE","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",7.599636,"A","3"
"155","9OTH012","LDC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",163.034027,"A","3"
"156","9OTH012","LLDC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",133.768701,"A","3"
"157","9OTH012","SIDS","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",23.238947,"A","3"
"158","9OTH012","DPGC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",560.738446,"A","3"
"159","9OTH012","UMIC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",195.977808,"A","3"
"160","9OTH012","LMIC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",185.346768,"A","3"
"161","9OTH012","OLIC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",13.315616,"A","3"
"162","9OTH012","INC_X","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.064227,"A","3"
"163","9OTH012","HICSWB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.267948,"A","3"
"164","9OTH012","UMICWB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",200.266467,"A","3"
"165","9OTH012","LMICWB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",239.095904,"A","3"
"166","9OTH012","OLICWB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",117.0439,"A","3"
"167","9OTH012","HIPC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",124.296472,"A","3"
"168","9OTH012","FSCAC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",262.859659,"A","3"
"169","9OTH012","A","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",37.873521,"A","3"
"170","9OTH012","A3","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",4.409813,"A","3"
"171","9OTH012","A4","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",4.119215,"A","3"
"172","9OTH012","A5","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",8.529028,"A","3"
"173","9OTH012","A7","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",29.344493,"A","3"
"174","9OTH012","E","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",23.049556,"A","3"
"175","9OTH012","F","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",163.66811,"A","3"
"176","9OTH012","F3","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",84.266647,"A","3"
"177","9OTH012","F4","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",5.182875,"A","3"
"178","9OTH012","F5","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",11.462464,"A","3"
"179","9OTH012","F6","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",158.485235,"A","3"
"180","9OTH012","F7","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",5.684976,"A","3"
"181","9OTH012","F8","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",57.071148,"A","3"
"182","9OTH012","F97","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",16.969221,"A","3"
"183","9OTH012","O","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",11.988091,"A","3"
"184","9OTH012","O7","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",8.923864,"A","3"
"185","9OTH012","O_X","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.064227,"A","3"
"186","9OTH012","CAF","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.299655,"A","3"
"187","9OTH012","TCD","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.472126,"A","3"
"188","9OTH012","CHN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",60.55354,"A","3"
"189","9OTH012","COG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.400432,"A","3"
"190","9OTH012","CIV","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.552697,"A","3"
"191","9OTH012","CUB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.906356,"A","3"
"192","9OTH012","PRK","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",11.715219,"A","3"
"193","9OTH012","COD","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",6.012848,"A","3"
"194","9OTH012","DJI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.433899,"A","3"
"195","9OTH012","DOM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.212859,"A","3"
"196","9OTH012","ECU","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.928696,"A","3"
"197","9OTH012","EGY","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.348375,"A","3"
"198","9OTH012","SLV","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.878535,"A","3"
"199","9OTH012","ERI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.396998,"A","3"
"200","9OTH012","SWZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.010719,"A","3"
"201","9OTH012","ETH","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",13.891595,"A","3"
"202","9OTH012","FJI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.182736,"A","3"
"203","9OTH012","GMB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.967885,"A","3"
"204","9OTH012","GEO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.643168,"A","3"
"205","9OTH012","GHA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",6.591128,"A","3"
"206","9OTH012","GTM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.340817,"A","3"
"207","9OTH012","GIN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.75984,"A","3"
"208","9OTH012","GNB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.57727,"A","3"
