state,year,forecast_notifications,dr_cases_est
Jharkhand,2029,75029.0476190485,4461.4226136448415
Karnataka,2029,66023.2023809515,3925.9115965753535
Kerala,2029,17620.73809523764,1047.7749871804024
Ladakh,2029,,
Lakshadweep,2029,0.0,0.0
Madhya Pradesh,2029,208176.36904762127,12378.709179559619
Maharashtra,2029,225433.2976190485,13404.851104771435
Manipur,2029,1955.5,116.27912385719186
Meghalaya,2029,4508.107142857065,268.0637938255014
Mizoram,2029,1696.369047618995,100.87052242168025
Nagaland,2029,4432.7976190475165,263.5856933669606
Odisha,2029,63805.523809524486,3794.0426519154703
Puducherry,2029,1117.9999999999418,66.4791922640418
Punjab,2029,68698.17857142864,4084.972648872736
Rajasthan,2029,208798.01190476865,12415.673683155213
Sikkim,2029,1244.7142857142535,74.01395376905333
Tamil Nadu,2029,106600.45238095429,6338.740580740306
Telangana,2029,75444.28571428545,4486.113752436087
Tripura,2029,2596.249999999942,154.379787938751
Uttar Pradesh,2029,868711.9285714477,51655.87416956246
Uttarakhand,2029,37713.13095238153,2242.5210048859467
West Bengal,2029,75801.85714285448,4507.37588101209
Andaman and Nicobar Islands,2030,636.0119047618828,40.2833755011105
Andhra Pradesh,2030,81930.66666666558,5189.279926490156
Arunachal Pradesh,2030,2261.7976190475456,143.25650528463268
Assam,2030,55424.27380952472,3510.43245736311
Bihar,2030,285045.1666666791,18054.035463234664
Chandigarh,2030,2501.071428571362,158.41149946707296
Chhattisgarh,2030,31808.89285714226,2014.6943251299467
Dadra and Nagar Haveli and Daman and Diu,2030,334.8809523808595,21.210507306428887
Delhi,2030,103391.45238094986,6548.551479435455
Goa,2030,1648.6309523808595,104.42008902706908
Gujarat,2030,113309.10714285355,7176.710493241522
Haryana,2030,109185.16666666791,6915.510598235452
Himachal Pradesh,2030,14190.452380952309,898.7871414239426
Jammu and Kashmir,2030,11060.535714285448,700.5461848844108
Jharkhand,2030,77584.02380952425,4913.974629415569
Karnataka,2030,64642.72619047528,4094.3057717155634
Kerala,2030,17012.11904761847,1077.504327409377
Ladakh,2030,,
Lakshadweep,2030,0.0,0.0
Madhya Pradesh,2030,213085.05952381156,13496.26540353498
Maharashtra,2030,227779.52380952518,14426.975376378456
Manipur,2030,1893.7499999999854,119.9453057152892
Meghalaya,2030,4506.678571428483,285.44155195275846
Mizoram,2030,1630.5595238094684,103.27549073019382
Nagaland,2030,4491.2738095237,284.4658535363147
Odisha,2030,64678.51190476259,4096.572347789719
Puducherry,2030,922.9999999999418,58.460471115620216
Punjab,2030,70639.21428571455,4474.1080675843805
Rajasthan,2030,216015.88095238805,13681.89617435876
Sikkim,2030,1239.3571428571067,78.49772746689064
Tamil Nadu,2030,109304.22619047854,6923.051525486558
Telangana,2030,76121.14285714272,4821.319472685021
Tripura,2030,2517.9999999999127,159.48371210090562
Uttar Pradesh,2030,914923.4642857313,57948.92389694751
Uttarakhand,2030,39535.44047619123,2504.0741885177094
West Bengal,2030,72540.67857142538,4594.541976524996
