IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,DISAGGR_1,DISAGGR_2,UNIT,VALUE,VALUE_LO,VALUE_HI
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Female,45-54 years,Number,20.48870534,7.953644794,33.02376588
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Female,55-64 years,Number,30.45454046,15.17201236,45.73706855
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Female,65 years and older,Number,69.51490278,46.42574255,92.604063
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Male,0-4 years,Number,1.818181818,1.14152055,2.494843086
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Male,5-14 years,Number,0.625,0.228272166,1.021727834
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Male,15-24 years,Number,0.149818023,0,0.388476444
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Male,25-34 years,Number,0.431830006,0.10206158,0.761598432
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Male,35-44 years,Number,0.61454944,0.221152411,1.00794647
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Male,45-54 years,Number,0.673375387,0.261580185,1.085170589
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Male,55-64 years,Number,0.637344217,0.236717703,1.03797073
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Male,65 years and older,Number,0.428151749,0.099790783,0.756512714
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Female,0-4 years,Number,2.181818182,1.440572902,2.923063462
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Female,5-14 years,Number,1.375,0.786557527,1.963442473
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Female,15-24 years,Number,0.149966127,0,0.388668412
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Female,25-34 years,Number,0.14884944,0,0.387218645
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Female,35-44 years,Number,0.253851381,0.001013334,0.506689429
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Female,45-54 years,Number,0.127523168,0,0.358407596
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Female,55-64 years,Number,0.160119026,0,0.40160964
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Armenia,Female,65 years and older,Number,0.214261004,0,0.464573278
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,American Samoa,Male,0-4 years,Number,0.010537403,0,0.037476017
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,American Samoa,Male,5-14 years,Number,0.00414227,0,0.023496642
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,American Samoa,Male,15-24 years,Number,0.005343289,0,0.02668646
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,American Samoa,Male,25-34 years,Number,0.008902515,0,0.034446332
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Male,0-4 years,Number,0.003943328,0,0.030772978
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Male,5-14 years,Number,0.001460991,0,0.018731037
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Male,15-24 years,Number,0.013711085,0,0.057381774
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Male,25-34 years,Number,0.025392171,0,0.078088661
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Male,35-44 years,Number,0.03224139,0,0.087992354
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Male,45-54 years,Number,0.036720426,0,0.09390569
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Male,55-64 years,Number,0.040114242,0,0.098149332
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Male,65 years and older,Number,0.068835733,0.004549936,0.13312153
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Female,0-4 years,Number,0.003048383,0,0.027056573
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Aruba,Female,5-14 years,Number,0.001301057,0,0.017676091
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Male,25-34 years,Number,65.03847669,0,182.7493635
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Male,35-44 years,Number,139.8877578,5.879811486,273.8957041
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Male,45-54 years,Number,57.8917723,0,172.4166153
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Male,55-64 years,Number,80.72299336,0,203.5960377
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Male,65 years and older,Number,304.0962171,106.51475,501.6776841
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Female,0-4 years,Number,6.758332954,0,58.91019829
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Female,5-14 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Female,15-24 years,Number,13.22582774,0,82.41041926
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Bolivia (Plurinational State of),Female,25-34 years,Number,31.67751205,0,127.5399449
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Burundi,Female,25-34 years,Number,152.5813568,0,564.245038
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Burundi,Female,35-44 years,Number,156.2430796,0,570.9754133
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Burundi,Female,45-54 years,Number,112.6368961,0,484.7941263
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Burundi,Female,55-64 years,Number,74.77760869,0,395.0051871
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Burundi,Female,65 years and older,Number,73.62213929,0,391.9414805
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Male,0-4 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Male,5-14 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Male,15-24 years,Number,0.870739961,0.657420591,1.084059331
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Male,25-34 years,Number,0.872332253,0.658817927,1.085846579
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Male,35-44 years,Number,0.882286023,0.667556997,1.09701505
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Male,35-44 years,Number,42.41945363,25.85045996,58.98844729
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Male,45-54 years,Number,43.93219681,27.0703532,60.79404041
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Male,55-64 years,Number,48.16681373,30.51100742,65.82262004
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Male,65 years and older,Number,25.43342653,12.60374033,38.26311272
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Female,0-4 years,Number,31.33309685,17.09292412,45.57326959
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Female,5-14 years,Number,10.88668429,2.492830289,19.28053829
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Female,15-24 years,Number,27.24187657,13.9638936,40.51985953
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Female,25-34 years,Number,30.55704418,16.49432618,44.61976217
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Azerbaijan,Female,35-44 years,Number,18.03963369,7.234566948,28.84470044
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Afghanistan,Female,45-54 years,Number,637.0926112,0,2246.540113
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Afghanistan,Female,55-64 years,Number,613.9796161,0,2205.412694
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Afghanistan,Female,65 years and older,Number,585.6836331,0,2153.993743
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Angola,Male,0-4 years,Number,1332.331424,0,4242.739908
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Angola,Male,5-14 years,Number,428.3853294,0,2405.789186
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Angola,Male,15-24 years,Number,1911.722914,0,5082.211639
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Angola,Male,25-34 years,Number,2270.100965,0,5538.126357
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Angola,Male,35-44 years,Number,2062.687377,0,5279.064632
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Angola,Male,45-54 years,Number,1391.615492,0,4336.106106
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Angola,Male,55-64 years,Number,1024.89458,0,3721.173092
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Male,45-54 years,Number,0.876053586,0.662084323,1.090022848
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Male,55-64 years,Number,0.866225481,0.653459823,1.07899114
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Male,65 years and older,Number,14.41234098,13.54447369,15.28020826
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Female,0-4 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Female,5-14 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Female,15-24 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Female,25-34 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Belgium,Female,35-44 years,Number,0.851544835,0.640589839,1.06249983
